FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,SHAPE_Length,SHAPE_Area
1,1,Kauai,Hawaii,15,007,15007,73169,116.8,67091,107.1,22159,278,254,21016,6060,6315,608,16716,33701,33390,4281,4179,4055,4146,3472,8141,8372,10239,10221,5347,3022,1616,41.4,40.3,42.6,23240,2.84,2493,2762,5082,6572,963,1776,16147,3.31,29793,6553,13968,9272,591,244,30236,109160,626.57,2.93888370345,2.93888370484029,0.141969982655
2,2,Honolulu,Hawaii,15,003,15003,1014211,1681.1,953207,1580,198732,19256,2438,418410,90878,77433,10457,213036,477092,476115,61261,57818,56147,60344,73203,134446,125296,131724,114478,68927,47203,22360,37.7,36.1,39.3,311047,2.95,33882,37034,76399,84773,8564,21425,217842,3.48,336899,25852,174387,136660,999,69,22200,161650,603.31,4.22357632176,4.22357964382586,0.136183778113
3,3,Hawaii,Hawaii,15,001,15001,204027,50.7,185079,46,62348,1020,869,41050,22389,21383,2868,54535,92821,92258,11845,11478,11521,12089,10833,22225,21382,27523,29349,15008,8223,3603,40.9,40.2,41.7,67096,2.7,8593,8250,13002,18832,2596,5239,44407,3.22,82324,15228,44271,22825,4282,160,72028,57741,4027.83,5.6164670011,5.61646699487615,0.898318364272
4,4,Kalawao,Hawaii,15,005,15005,91,7.6,90,7.5,24,0,0,7,44,1,1,14,42,48,0,0,0,0,3,10,14,17,20,7,18,1,55.3,50,61.7,69,1.26,22,29,0,8,0,0,13,2,113,44,1,68,-99,-99,-99,-99,12.03,0.509271487208,0.509271495928963,0.0027094669027
5,5,Maui,Hawaii,15,009,15009,169713,146.3,154834,133.5,53336,870,603,44595,16051,15710,3051,36328,77587,77247,10020,9886,9816,9415,8318,20511,21309,24262,21494,11234,5911,2658,39.6,38.9,40.3,53886,2.82,6475,6635,11807,13601,2073,4324,35498,3.36,70379,16493,30055,23831,1128,203,49578,166755,1159.64,6.35988319463,6.35988211497935,0.260689067082
6,6,Aleutians East,Alaska,02,013,02013,3129,0.4,3141,0.4,660,219,876,1130,19,385,84,153,2093,1048,123,105,88,104,249,514,597,771,435,108,40,7,42,42,42.2,553,2.56,109,38,120,115,39,53,363,3.04,747,194,285,268,-99,-99,-99,-99,7036.89,57.5706158815,57.5706158720049,2.58143492351
7,7,Bethel,Alaska,02,050,02050,17646,0.4,17013,0.4,1894,65,14109,160,27,181,45,713,8898,8115,1796,1762,1669,1618,1349,2257,1858,2210,1453,664,308,69,26.3,26.8,25.7,4651,3.59,609,330,1496,616,358,628,3436,4.22,5919,1268,2702,1949,-99,-99,-99,-99,41706.31,65.9933173472,65.9933173362184,17.8724063997
8,8,Kusilvak,Alaska,02,158,02158,7885,0.4,7459,0.4,201,1,7085,18,0,7,3,151,3944,3515,903,829,861,821,724,847,779,788,503,244,119,41,22.2,22.2,22.1,1745,4.27,210,53,601,121,235,331,1419,4.74,2183,438,1247,498,-99,-99,-99,-99,17969.67,36.176671888,36.1766719232867,8.00987481542
9,9,Dillingham,Alaska,02,070,02070,4998,0.3,4847,0.3,878,11,3470,32,6,101,12,438,2541,2306,452,409,452,463,394,576,481,741,512,236,103,28,29.1,29.3,28.8,1563,3.07,249,151,407,270,88,211,1077,3.72,2427,864,934,629,-99,-99,-99,-99,19235.18,22.5802146444,22.5802138585402,7.96616929387
10,10,Nome,Alaska,02,180,02180,9668,0.4,9492,0.4,1552,27,7199,96,9,115,22,587,5058,4434,1017,898,857,862,730,1342,1055,1233,895,389,178,36,27.7,28.3,26.9,2815,3.29,448,214,699,395,291,390,1981,3.91,4008,1193,1521,1294,-99,-99,-99,-99,23079.2,77.1117479161,77.1117776553277,11.3223018019
